Name,Genres
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,Animation; Drama; Sci-Fi & Fantasy
86: Eighty Six,Action; Animation; Anime; Drama; Science Fiction; War
"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You",Animation; Komödie
Agents of the Four Seasons,Animation; Drama; Sci-Fi & Fantasy
Akame ga Kill!,Action & Adventure; Animation; Drama
Akashic Records of Bastard Magic Instructor,Action; Animation; Anime; Comedy; Fantasy; Romance
Alya Sometimes Hides Her Feelings in Russian,Animation; Komödie
Amagi Brilliant Park,Animation; Komödie; Drama; Sci-Fi & Fantasy
Angels of Death,Action; Anime; Horror; Suspense
Arifureta,Action & Adventure; Animation; Sci-Fi & Fantasy
Armed Girl's Machiavellism,Action; Anime; Comedy; Ecchi; Romance
Assassins Pride,Action & Adventure; Animation; Drama; Komödie; Krimi; Mystery; Sci-Fi & Fantasy
The Asterisk War,Action; Animation; Anime; Comedy; Fantasy; Romance; Science Fiction
Attack on Titan,Animation; Sci-Fi & Fantasy; Action & Adventure
Aura: Maryuuin Kouga Saigo no Tatakai,Anime; coming of age; high school; plot continuity; romance
"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside",Animation; Komödie; Action & Adventure; Sci-Fi & Fantasy
Battle Game in 5 Seconds,Action; Animation; Anime; Comedy; Fantasy; Mystery; Science Fiction
The Beginning After the End,Animation; Action & Adventure
Beyond the Boundary: Kyoukai no Kanata,Action; Animation; Anime; Comedy; Drama; Fantasy; Thriller
Blue Box,Animation; Komödie; Drama
Call of the Night,Animation; Komödie; Sci-Fi & Fantasy
The Case Study of Vanitas,Action & Adventure; Animation; Mystery; Sci-Fi & Fantasy
Cautious Hero: The Hero Is Overpowered but Overly Cautious,Action & Adventure; Animation; Komödie; Sci-Fi & Fantasy; War & Politics
A Certain Scientific Railgun,Action; Animation; Anime; Comedy; Drama; Fantasy; Science Fiction
Chaika - Die Sargprinzessin,Action & Adventure; Animation; Komödie; Sci-Fi & Fantasy
Chainsaw Man,Action & Adventure; Animation; Komödie; Sci-Fi & Fantasy
Charlotte,Anime; Comedy; Drama; Fantasy
Chillin' in Another World with Level 2 Super Cheat Powers,Action; Adventure; Animation; Anime; Comedy; Fantasy; Romance
Chitose Is in the Ramune Bottle,Animation; Komödie
A Chivalry of a Failed Knight,Action; Animation; Anime; Drama; Fantasy; Romance
Classroom of the Elite,Animation; Drama; Mystery
Code Geass: Lelouch of the Rebellion,Action; Animation; Anime; Drama; Fantasy; Romance; Science Fiction; Thriller; War
A Couple of Cuckoos,Animation; Anime; Comedy; Romance
Daemons of the Shadow Realm,Action & Adventure; Animation; Sci-Fi & Fantasy
The Daily Life of the Immortal King,Animation; Komödie; Action & Adventure; Sci-Fi & Fantasy
The Dangers in My Heart,Animation; Anime; Comedy; Romance
Danmachi: Is It Wrong to Try to Pick Up Girls in a Dungeon?,Action & Adventure; Animation; Komödie; Sci-Fi & Fantasy
Darker than Black,Action; Animation; Anime; Drama; Fantasy; Horror; Mystery; Science Fiction; Thriller
Darling in the FRANXX,Action; Animation; Anime; Drama; Romance; Science Fiction
Date A Live,Action; Animation; Anime; Comedy; Drama
Date A Bullet - Dead or Bullet (2020) {tmdb-685099},
Dealing with Mikadono Sisters Is a Breeze,Animation; Anime; Comedy; Drama; Romance
Demon Slave – The Chained Soldier,Action; Adventure; Animation; Anime; Fantasy; Romance
Demon Slayer: Kimetsu no Yaiba,Action & Adventure; Animation; Sci-Fi & Fantasy
The Demon Sword Master of Excalibur Academy,Action; Animation; Anime; Comedy; Drama; Fantasy; Romance
Der stärkste Held mit dem Mal der Schwäche,Action; Adventure; Animation; Anime; Comedy; Fantasy
The Detective Is Already Dead,Action; Animation; Anime; Comedy; Drama; Fantasy; Mystery; Romance; Thriller
Devil May Cry,Animation; Action & Adventure; Sci-Fi & Fantasy
Devil May Cry (2025),Action; Adventure; Animation
Die rothaarige Schneeprinzessin,Animation; Drama; Sci-Fi & Fantasy
"DON'T TOY WITH ME, MISS NAGATORO",Animation; Drama; Komödie
